Symbol	logFC	logCPM	PValue	FDR
C1orf112	-1.002421326	3.47665399	8.43E-14	7.83E-13
MYH16	5.601580255	1.783040327	9.82E-64	7.96E-62
MAD1L1	2.16588277	6.687211844	9.47E-142	3.02E-139
LASP1	-0.765356323	9.284203798	5.30E-27	1.09E-25
DBNDD1	1.01987248	4.491088015	3.71E-21	5.57E-20
SLC7A2	-1.118592001	4.568106043	2.47E-25	4.63E-24
THSD7A	2.227664048	2.356600941	1.80E-24	3.24E-23
FAM214B	1.2486351	4.589415961	2.78E-25	5.19E-24
BZRAP1	-1.438425037	3.407441443	1.51E-15	1.61E-14
ITGA3	1.518853431	9.332617731	2.04E-96	3.41E-94
TMEM98	-0.821815208	4.273999464	5.96E-13	5.14E-12
YBX2	-1.434366574	4.550346779	1.93E-28	4.20E-27
MAP3K14	0.893649894	5.528008109	2.12E-18	2.74E-17
ABCC8	-2.77628257	0.28953924	4.23E-13	3.70E-12
TMEM132A	2.173451774	5.987853796	6.64E-125	1.62E-122
TNFRSF12A	0.905280592	6.932316364	4.52E-19	6.08E-18
RALA	0.608491945	7.068087334	2.99E-11	2.23E-10
BAIAP2L1	0.537047213	7.08649468	2.66E-13	2.37E-12
KDM7A	-1.09342008	6.207577315	4.12E-37	1.30E-35
ETV1	-1.68693187	4.530979445	1.34E-57	9.14E-56
PHTF2	-1.116341565	6.187626187	6.25E-30	1.47E-28
NOS2	-1.836975384	2.153178603	4.74E-21	7.08E-20
MYLIP	-1.348635097	3.258272387	1.21E-22	1.98E-21
JARID2	0.909246863	5.601334494	3.64E-20	5.20E-19
ADAM22	-0.955318683	6.06408883	1.34E-31	3.43E-30
SPAG9	0.893089269	8.539937658	7.79E-41	2.95E-39
IL32	6.691030164	3.44418716	8.95E-133	2.47E-130
MAPK8IP2	0.808367874	4.987404319	3.14E-13	2.78E-12
NCAPD2	-0.492633493	7.964633787	4.07E-13	3.57E-12
HIVEP2	1.051709923	6.812421511	4.70E-24	8.27E-23
LYPLA2	0.839229432	5.186809541	1.76E-19	2.42E-18
ABHD5	0.819975097	4.393014611	2.86E-14	2.76E-13
MBTD1	-0.976773496	5.471219564	3.06E-29	6.94E-28
